trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,7,-31.983418140278204,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-97.74190092667587,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,10,-44.72162288409794,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-176.60775029252358,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-48.36606995658432,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-114.41157288090014,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-160.8183077152193,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,4,-35.37940531270158,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,13,9.878598922492955,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,16,7.487410693867188,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,1,-54.519175249870685,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,23,-23.44357572470249,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,1,-63.85991489148113,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,8,9.324035328811409,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,6,23.364353563189564,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,12,30.284812558838617,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,12.964197344869536,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,14,5.996191587746857,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,16.44838298504309,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,20.383560115377513,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,4,25.072827104101908,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,13,13.558749536605536,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,14.99344097035127,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,14.158927337725496,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,4,28.677436527513144,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,16,14.11634826057393,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,5,25.01811299710455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,18.07148601966047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,6.671797018344096,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,21,15.896634990511455,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
