trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9205614508160216}",30,0,-127.52830539108908,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9168273035060777}",20,0,-167.83476625489433,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9129342275597288}",20,0,-70.65230925008275,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9088770389851439}",20,0,-32.9605766073019,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9046505351008906}",20,0,-109.08004697274843,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9002495108803149}",30,0,-135.7757874010869,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8956687768809987}",20,0,-50.88685119791763,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.8909031788043871}",20,0,-56.03541174562455,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.8859476187202091}",25,14,-16.202607748355554,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.8807970779778824}",20,0,-85.10683339230927,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8754466418125836}",25,0,-154.77346038145194,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8698915256370021}",20,0,-70.75304829300264,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8641271029909057}",30,0,-238.48956539891338,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 6}",0
14,False,"{'a': 0.5, 'e': 0.8581489350995122}",30,0,-183.6696258991547,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.8519528019683105}",20,0,-148.5367825078733,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8455347349164654}",25,0,-163.6241513186379,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8388910504234148}",25,0,-163.36955075364915,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8320183851339245}",20,0,-139.23124205284614,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8249137318359602}",20,0,-189.73789845033642,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.8175744761936437}",20,0,-53.45771587427284,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8099984339846871}",20,0,-85.60630002692405,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8021838885585818}",20,0,-69.90159884766902,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7941296281990526}",25,0,-49.184368348220524,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7858349830425586}",20,15,-2.5219538831112334,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7772998611746912}",25,11,-66.1126503957183,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.7685247834990176}",20,0,-48.329079996299605,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7595109169491111}",20,10,-7.6115226378124445,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7502601055951177}",20,0,-112.05677862609251,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.740774899182154}",20,12,-15.214013780785223,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7310585786300049}",25,0,-75.84586053013463,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7211151780228631}",25,7,-91.82041431374383,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.710949502625004}",20,0,2.5278276497631023,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.700567142473973}",20,0,-85.3821125301,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.6899744811276125}",20,0,0.8440776432470806,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.679178699175393}",30,21,1.6213227005908897,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6681877721681662}",20,3,-28.48229530690956,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6570104626734988}",20,6,-3.9328084897737865,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6456563062257954}",25,11,-6.346587142350021,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6341355910108006}",20,0,-70.30440780558777,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6224593312018546}",25,0,-114.23619050059031,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6106392339492219}",25,0,-41.675491300256446,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.598687660112452}",20,3,-3.9285916157386955,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.58661757891733}",25,0,-21.692214740254705,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.5744425168116589}",25,0,-15.971945626447118,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.5621765008857981}",25,0,7.889933168746177,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.5498339973124778}",30,0,-68.20603565765431,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5374298453437496}",35,18,-7.663782102105511,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.52497918747894}",25,13,1.7699307015393537,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.5124973964842103}",30,0,-76.88658766520506,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.5}",20,1,29.66645215739191,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.48750260351578967}",25,18,7.373340841600555,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.47502081252106}",20,0,-9.863551235237273,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.4625701546562504}",20,1,-42.05568476428723,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.45016600268752205}",25,8,-77.55682584730943,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
55,False,"{'a': 0.5, 'e': 0.43782349911420193}",25,8,-23.41441854477635,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.42555748318834097}",25,13,11.865618615405829,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.41338242108266987}",25,10,-29.848439454740078,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.401312339887548}",30,8,-18.01631618509782,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.38936076605077796}",35,26,17.393306424906452,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.3775406687981454}",35,17,16.598890373036518,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.36586440898919925}",30,0,13.176594830752382,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.3543436937742046}",35,26,-0.9740464832587461,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.34298953732650117}",25,18,-1.2188156897135696,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.33181222783183384}",20,0,9.511522708932333,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.320821300824607}",30,18,1.4086157388358136,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.3100255188723875}",25,17,13.102226157786106,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.299432857526027}",30,22,-31.933268609623234,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.2890504973749961}",25,13,19.697763862313558,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.27888482197713693}",25,11,8.141809997024156,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.2689414213699951}",25,0,-43.61186167475186,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.259225100817846}",20,12,15.059843448602477,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.2497398944048823}",20,0,13.231149085012376,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.240489083050889}",20,9,-4.6143751051804776,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.23147521650098224}",25,3,19.358553658890624,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.22270013882530892}",25,17,2.0836777177482833,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.2141650169574414}",25,20,9.803994174495866,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.20587037180094725}",25,11,20.666385874920486,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.1978161114414182}",25,11,-18.12836693171456,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.19000156601531293}",35,16,0.6882607304031865,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.18242552380635635}",20,16,7.809976547910763,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.17508626816403983}",35,15,35.018369906052854,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.16798161486607555}",25,13,5.435659566973604,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.16110894957658528}",20,13,11.082994106866941,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15446526508353475}",25,14,7.243520382588483,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14804719803168942}",30,16,14.593183415949513,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.1418510649004877}",30,19,22.143375591587397,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.13587289700909422}",25,7,24.662775384042874,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.13010847436299788}",20,16,7.858115359383579,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.12455335818741642}",30,20,16.490457087113647,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.11920292202211769}",20,10,3.7688883655128245,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.1140523812797909}",25,11,16.034720272795273,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.10909682119561293}",30,15,19.8584016507807,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.10433122311900134}",25,5,33.74543646909399,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.0997504891196852}",25,18,-28.405740167703062,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.09534946489910945}",20,7,15.778011194365487,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.09112296101485617}",25,14,16.801316330600564,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.08706577244027136}",30,20,19.777664586243237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.08317269649392234}",25,16,6.882215126139162,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.07943854918397841}",25,12,-18.904314287604045,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.07585818002124345}",20,5,21.1621533519586,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.07242648536151775}",20,9,22.468325227728137,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.06913842034334672}",20,6,25.408992034960566,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.06598900949121878}",20,14,13.374308242698127,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.0629733560569965}",20,14,6.379595722577642,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.060086650174007605}",20,13,14.9576158516292,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.057324175898868734}",30,17,25.4465453525895,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.05468131721594083}",20,11,18.101232306984667,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.052153563078417675}",30,14,36.757943544493656,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.04973651155855663}",25,18,12.661814505246493,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.047425873177566635}",20,12,15.312628688876732,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.04521747348328753}",30,17,12.802028239527976,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.04310725494108614}",20,5,23.70282305175538,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.04109127820046499}",25,5,36.47632508565148,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.039165722796764335}",20,16,10.495220818919435,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.03732688734412937}",35,9,39.83540410172756,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.03557118927263614}",25,14,8.278702053284787,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.03389516415917815}",20,11,17.09847374132505,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.03229546469845046}",30,8,35.85354179908814,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.030768859357148015}",20,13,14.064375435775972,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.02931223075135636}",25,16,17.557728223791873,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.027922573784072924}",20,9,16.76493426974974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.026596993576865957}",25,13,26.32425338382981,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.025332703226871645}",20,0,30.314971758854803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.024127021417669203}",25,17,14.057974137277728,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.022977369910025636}",25,20,10.707107096653306,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.02188127093613057}",30,21,2.8466631417041253,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
