trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.67459800594875,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,3,-8.526048087120008,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.50781628666579,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.96439815312345,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-214.7703556806579,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.28556705053302,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.81326673586152,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.32592120031295,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,7,-22.835845942738857,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,14,-48.27028077153262,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.02393255537258,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,12,-40.01376459069226,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.64986255832987,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.24148520028254,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.71581810069709,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.64163184703297,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-155.747680208628,"{0: 19, 1: 10, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.77965513645788,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.02469315012205,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,9,-109.02442123098282,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.305791255334,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
